name,description,price,originalPrice,category,finish,coverage,features,imageUrl,galleryUrls,inStock,isEcoFriendly,isNew,isPopular
Premium White Interior Paint,High-quality white paint perfect for interior walls and ceilings,29.99,34.99,Interior,Matt,12-14 sq m per litre,"Washable;Quick-dry;Low odor;Anti-bacterial",https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=800,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=400;https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400,true,true,false,true
Eco-Friendly Green Exterior Paint,Environmentally conscious exterior paint with excellent weather resistance,35.99,39.99,Exterior,Satin,10-12 sq m per litre,"Eco-friendly;Weather resistant;UV protection;Mold resistant",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400;https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=400,true,true,true,false
Premium Wood Stain Mahogany,Rich mahogany wood stain for furniture and decking,42.50,,Wood,Satin,8-10 sq m per litre,"Deep penetration;Water resistant;UV protection",https://images.unsplash.com/photo-1604709177225-055f99402ea3?w=800,https://images.unsplash.com/photo-1604709177225-055f99402ea3?w=400,true,false,false,true
Metallic Silver Spray Paint,Professional metallic finish for metal surfaces,18.99,22.99,Metal,Gloss,15-18 sq m per litre,"Fast drying;Rust protection;Smooth finish",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=800,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=400,true,false,true,false
Luxury Cream Interior Paint,Premium cream paint with silk finish for elegant interiors,45.99,52.99,Interior,Silk,10-12 sq m per litre,"Luxury finish;Washable;Stain resistant;Long lasting",https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=800,https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=400,true,false,false,true
Outdoor Deck Stain Natural,Natural wood stain perfect for outdoor decking and furniture,38.75,42.00,Wood,Semi-Gloss,6-8 sq m per litre,"Weather protection;Natural look;Easy application",https://images.unsplash.com/photo-1604709177595-ee9c2580e9a3?w=800,https://images.unsplash.com/photo-1604709177595-ee9c2580e9a3?w=400,true,true,false,false
Industrial Red Primer,Heavy-duty primer for industrial metal surfaces,28.99,,Metal,Matt,12-15 sq m per litre,"Rust prevention;Strong adhesion;Chemical resistant",https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=800,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400,true,false,false,false
Bathroom Moisture-Resistant Paint,Specially formulated paint for high-moisture environments,33.50,37.99,Interior,Semi-Gloss,11-13 sq m per litre,"Moisture resistant;Mold resistant;Easy clean;Durable",https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=800,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=400,true,true,true,true
Chalkboard Paint Black,Create writable surfaces with this premium chalkboard paint,24.99,29.99,Specialty,Matt,8-10 sq m per litre,"Writable surface;Easy erase;Smooth finish",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3?w=800,https://images.unsplash.com/photo-1581833971358-2c8b550f87b3?w=400,true,false,true,false
Exterior Masonry Paint White,Durable white paint designed specifically for masonry surfaces,31.25,35.50,Exterior,Matt,9-11 sq m per litre,"Breathable;Weather resistant;Alkali resistant;Long lasting",https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=800,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=400,true,false,false,true
Gloss Black Trim Paint,High-gloss black paint perfect for trim and architectural details,26.99,,Interior,Gloss,14-16 sq m per litre,"High gloss;Smooth finish;Easy clean;Durable",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=800,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=400,true,false,false,false
Eco Ceiling Paint White,Low-VOC ceiling paint with excellent coverage and opacity,22.50,26.99,Interior,Matt,13-15 sq m per litre,"Low VOC;Excellent coverage;No drip formula;Easy application",https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=800,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=400,true,true,false,false
Fence Paint Dark Brown,Weather-resistant paint specifically designed for wooden fences,29.75,33.25,Exterior,Semi-Gloss,8-10 sq m per litre,"Weather protection;UV resistant;Easy maintenance",https://images.unsplash.com/photo-1604709177225-055f99402ea3?w=800,https://images.unsplash.com/photo-1604709177225-055f99402ea3?w=400,true,true,false,false
Magnetic Paint Gray,Create magnetic surfaces with this innovative specialty paint,39.99,44.99,Specialty,Matt,6-8 sq m per litre,"Magnetic surface;Easy application;Paintable;Creative possibilities",https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=800,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400,true,false,true,true
Kitchen Cabinet Paint Blue,Durable paint specifically formulated for kitchen cabinets,41.50,46.99,Interior,Semi-Gloss,10-12 sq m per litre,"Grease resistant;Easy clean;Smooth finish;Durable",https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=800,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=400,true,false,false,true
Textured Wall Paint Beige,Create beautiful textured finishes with this specialty wall paint,34.25,38.75,Interior,Textured,7-9 sq m per litre,"Textured finish;Hide imperfections;Easy application;Unique look",https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=800,https://images.unsplash.com/photo-1513475382585-d06e58bcb0e0?w=400,true,false,true,false
Anti-Slip Floor Paint Yellow,Safety-focused floor paint with anti-slip properties,36.99,41.50,Specialty,Semi-Gloss,8-10 sq m per litre,"Anti-slip;High visibility;Durable;Safety compliant",https://images.unsplash.com/photo-1581833971358-2c8b550f87b3?w=800,https://images.unsplash.com/photo-1581833971358-2c8b550f87b3?w=400,true,false,false,false
Primer Sealer Universal,High-quality universal primer suitable for multiple surfaces,25.75,29.25,Specialty,Matt,12-14 sq m per litre,"Universal use;Excellent adhesion;Stain blocking;Quick drying",https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=800,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=400,true,false,false,false
Heat Resistant Paint Silver,Specially formulated paint for high-temperature applications,48.99,54.99,Specialty,Semi-Gloss,6-8 sq m per litre,"Heat resistant;Industrial grade;Corrosion resistant;Long lasting",https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=800,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=400,true,false,true,false
Children's Room Paint Pink,Safe, non-toxic paint perfect for children's bedrooms,27.50,31.99,Interior,Eggshell,11-13 sq m per litre,"Non-toxic;Child safe;Easy clean;Soft finish",https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=800,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=400,true,true,true,true
